id,name,category,tier,tier_rationale
133,Anthropic,Frontier Lab,1,Top frontier lab
140,OpenAI,Frontier Lab,1,Top frontier lab
146,Google DeepMind,Frontier Lab,1,Top frontier lab
204,Meta AI,Frontier Lab,1,Top frontier lab
177,xAI,Frontier Lab,1,Top frontier lab
1787,Cohere,Frontier Lab,1,Top frontier lab
1788,Inflection AI,Frontier Lab,1,Top frontier lab
181,Safe Superintelligence Inc.,Frontier Lab,1,Top frontier lab - Ilya Sutskever
876,Thinking Machines Lab,Frontier Lab,1,Top frontier lab - Mira Murati
1864,Hugging Face,Frontier Lab,1,Top platform
1069,Microsoft Research,Frontier Lab,1,Major industry lab
1042,Microsoft,Deployers & Platforms,1,Top deployer
1041,Google,Deployers & Platforms,1,Top deployer
1043,Meta,Deployers & Platforms,1,Top deployer
1329,Apple,Deployers & Platforms,1,Top deployer
729,Amazon,Deployers & Platforms,1,Top deployer
1071,Tesla,Deployers & Platforms,1,Major AI deployer - autonomy
1378,X,Deployers & Platforms,1,Musk AI platform
1058,Anduril Industries,Deployers & Platforms,1,High-profile defense AI
1073,Palantir,Deployers & Platforms,1,High-profile defense AI
738,Scale AI,Deployers & Platforms,1,High-profile data infra
1221,Perplexity AI,Deployers & Platforms,1,Top consumer AI
741,Midjourney,Deployers & Platforms,1,Top consumer AI
752,ElevenLabs,Deployers & Platforms,1,Top consumer AI
758,Adobe,Deployers & Platforms,1,Top consumer AI - Firefly/C2PA
728,Nvidia,Infrastructure & Compute,1,Top compute provider
740,TSMC,Infrastructure & Compute,1,Critical AI chip manufacturer
1250,AMD,Infrastructure & Compute,1,Major chip competitor
727,Cloudflare,Infrastructure & Compute,1,Major AI infra - public positions
1309,National Institute of Standards and Technology,Government/Agency,1,NIST - critical for AI policy
205,Center for AI Standards and Innovation (CAISI),Government/Agency,1,US AI Safety Institute
533,UK AI Security Institute,Government/Agency,1,UK AISI
166,Senate AI Working Group,Government/Agency,1,Bipartisan congressional AI body
345,White House OSTP,Government/Agency,1,Key executive branch AI policy
915,European Commission,Government/Agency,1,EU AI Act authority
124,Brookings Institution,Think Tank/Policy Org,2,Top think tank
152,RAND Corporation,Think Tank/Policy Org,2,Top think tank
131,Center for Security and Emerging Technology (CSET),Think Tank/Policy Org,2,Top AI policy think tank
224,Center for a New American Security (CNAS),Think Tank/Policy Org,2,Top defense/AI think tank
349,Center for Strategic and International Studies (CSIS),Think Tank/Policy Org,2,Top think tank
229,Future of Life Institute,Think Tank/Policy Org,2,Anchor AI risk org
225,Centre for the Governance of AI (GovAI),Think Tank/Policy Org,2,Anchor AI governance org
173,AI Now Institute,Think Tank/Policy Org,2,Anchor critical-AI org
1356,Niskanen Center,Think Tank/Policy Org,2,Notable centrist think tank
228,Americans for Responsible Innovation (ARI),Think Tank/Policy Org,2,AI policy advocacy
341,Machine Intelligence Research Institute (MIRI),AI Safety/Alignment,2,Foundational alignment org
129,Redwood Research,AI Safety/Alignment,2,Top alignment lab
356,Model Evaluation & Threat Research (METR),AI Safety/Alignment,2,Top evals org
217,Apollo Research,AI Safety/Alignment,2,Top evals/safety org
209,Center for AI Safety (CAIS),AI Safety/Alignment,2,Anchor AI safety org
130,Center on Long-Term Risk,AI Safety/Alignment,2,Anchor safety org
218,Alignment Research Center (ARC),AI Safety/Alignment,2,Foundational alignment org
219,Center for Human-Compatible AI (CHAI),Academic,2,Stuart Russell's lab
158,Epoch AI,AI Safety/Alignment,2,Top AI metrics/forecasting
185,FAR.AI,AI Safety/Alignment,2,Notable safety org
128,Coefficient Giving (formerly Open Philanthropy),VC/Capital/Philanthropy,2,Top AI safety funder
211,Andreessen Horowitz (a16z),VC/Capital/Philanthropy,2,Top AI VC
134,Founders Fund,VC/Capital/Philanthropy,2,Top VC - Thiel
241,Y Combinator,VC/Capital/Philanthropy,2,Top accelerator
744,SoftBank,VC/Capital/Philanthropy,2,Major AI investor
